type,name,details,information
exercise,Barbell Bench Press,"Muscle: Chest; Equipment: Barbell; Difficulty: Intermediate; Sets: 3; Reps: 8-10; Rest: 120 seconds","Compound exercise for chest and triceps. Lie on the bench, lower the bar to your chest and press it upward."
exercise,Incline Dumbbell Press,"Muscle: Upper Chest; Equipment: Dumbbells; Difficulty: Beginner; Sets: 3; Reps: 8-12; Rest: 90 seconds","Perform on an incline bench. Press the dumbbells upward and slowly lower them."
exercise,Dumbbell Fly,"Muscle: Chest; Equipment: Dumbbells; Difficulty: Beginner; Sets: 3; Reps: 10-15; Rest: 60 seconds","Lower the dumbbells outward with slightly bent elbows and bring them back together."
exercise,Push Ups,"Muscle: Chest; Equipment: Bodyweight; Difficulty: Beginner; Sets: 3; Reps: 10-20; Rest: 60 seconds","Keep your body straight, lower your chest toward the floor and push back up."
exercise,Barbell Squat,"Muscle: Legs; Equipment: Barbell; Difficulty: Intermediate; Sets: 3; Reps: 6-10; Rest: 150 seconds","Place the bar on your upper back, squat down while maintaining control and drive through your feet to stand."
exercise,Leg Press,"Muscle: Quadriceps; Equipment: Machine; Difficulty: Beginner; Sets: 3; Reps: 10-12; Rest: 120 seconds","Lower the platform by bending your knees and push it away while maintaining controlled movement."
exercise,Romanian Deadlift,"Muscle: Hamstrings; Equipment: Barbell; Difficulty: Intermediate; Sets: 3; Reps: 8-12; Rest: 120 seconds","Keep your back neutral, push your hips backward and lower the bar close to your legs."
exercise,Lat Pulldown,"Muscle: Back; Equipment: Cable Machine; Difficulty: Beginner; Sets: 3; Reps: 8-12; Rest: 90 seconds","Pull the bar toward your upper chest while keeping your torso stable."
exercise,Pull Ups,"Muscle: Back; Equipment: Bodyweight; Difficulty: Intermediate; Sets: 3; Reps: 6-12; Rest: 120 seconds","Pull your body upward until your chin reaches the bar and lower yourself with control."
exercise,Seated Cable Row,"Muscle: Back; Equipment: Cable Machine; Difficulty: Beginner; Sets: 3; Reps: 8-12; Rest: 90 seconds","Pull the cable toward your torso while keeping your back straight."
exercise,Dumbbell Shoulder Press,"Muscle: Shoulders; Equipment: Dumbbells; Difficulty: Beginner; Sets: 3; Reps: 8-12; Rest: 90 seconds","Press dumbbells overhead from shoulder level and slowly return."
exercise,Lateral Raise,"Muscle: Shoulders; Equipment: Dumbbells; Difficulty: Beginner; Sets: 3; Reps: 12-15; Rest: 60 seconds","Raise the dumbbells sideways to approximately shoulder height and slowly lower them."
exercise,Barbell Bicep Curl,"Muscle: Biceps; Equipment: Barbell; Difficulty: Beginner; Sets: 3; Reps: 8-12; Rest: 60 seconds","Keep your elbows close to your body and curl the bar toward your shoulders."
exercise,Hammer Curl,"Muscle: Biceps; Equipment: Dumbbells; Difficulty: Beginner; Sets: 3; Reps: 10-15; Rest: 60 seconds","Use a neutral grip and curl the dumbbells upward without swinging."
exercise,Tricep Pushdown,"Muscle: Triceps; Equipment: Cable Machine; Difficulty: Beginner; Sets: 3; Reps: 10-15; Rest: 60 seconds","Push the cable handle downward while keeping your elbows close to your body."
exercise,Overhead Tricep Extension,"Muscle: Triceps; Equipment: Dumbbell; Difficulty: Beginner; Sets: 3; Reps: 10-15; Rest: 60 seconds","Lower the dumbbell behind your head by bending your elbows and extend your arms."
exercise,Plank,"Muscle: Core; Equipment: Bodyweight; Difficulty: Beginner; Sets: 3; Reps: 30-60 seconds; Rest: 45 seconds","Maintain a straight body position while bracing your abdominal muscles."
split,Full Body 3 Day,"Monday: Full Body; Wednesday: Full Body; Friday: Full Body","Suitable for people training three days per week."
split,Upper Lower 4 Day,"Monday: Upper Body; Tuesday: Lower Body; Thursday: Upper Body; Friday: Lower Body","Suitable for people training four days per week."
split,Push Pull Legs 6 Day,"Monday: Push; Tuesday: Pull; Wednesday: Legs; Thursday: Push; Friday: Pull; Saturday: Legs","Six-day split covering each major movement group twice per week."
goal,Bulking,"Calorie strategy: Small calorie surplus; Priority: Muscle growth and progressive resistance training","Bulking aims to support muscle gain using resistance training, adequate protein and a controlled calorie surplus."
goal,Cutting,"Calorie strategy: Moderate calorie deficit; Priority: Fat loss and muscle retention","Cutting aims to reduce body fat while maintaining muscle through resistance training and adequate protein."
goal,Maintenance,"Calorie strategy: Calories around maintenance; Priority: Fitness and strength","Maintenance aims to keep body weight relatively stable while continuing balanced training."
